"Country_class","ISO3","Country","Year","AMR","traj_class","WHO_Region","Income","Strategic_vision","Multi_sector_engagement","Sustainability","Accountability","AMC_surveillance_system","AMR_surveillance_system","Optimization_antimicrobial","Professional_education","Public_awareness","Hygiene_prevention","Research_innovation","Reporting","Policy_adjustment","Effectiveness"
40,579,579,2021,4.847713601,3,"African Region","LM",0,8.037897311,1.704545455,0,0,0,0,25,37.5,22.80471349,0,0,0,11.80922655
43,336,336,2017,3.300471688,3,"Region of the Americas","UM",0,8.037897311,32.10227273,0,100,48.6599297,55.09129288,100,61.492891,82.25536044,0,29.68397291,0,82.71728807
43,336,336,2018,3.135386898,3,"Region of the Americas","UM",0,8.037897311,32.10227273,0,100,48.6599297,55.09129288,100,61.492891,82.25536044,0,29.68397291,0,82.71728807
43,336,336,2019,3.910080678,3,"Region of the Americas","UM",0,8.037897311,32.10227273,0,100,48.6599297,63.46860158,83.02139037,61.492891,89.38280961,0,29.68397291,26.61654135,84.23226503
43,336,336,2020,4.997868788,3,"Region of the Americas","UM",0,32.15158924,32.10227273,0,100,51.36203866,86.89234828,83.02139037,61.492891,89.38280961,0,29.68397291,26.61654135,85.31395858
43,336,336,2021,5.584402639,3,"Region of the Americas","UM",20.77948113,32.15158924,32.10227273,0,100,56.74428822,71.39102902,83.02139037,31.99052133,41.54316081,0,0,76.80451128,65.57673072
44,87,87,2017,1.971594808,3,"European Region","H",79.22051887,75.88630807,31.98863636,100,41.31175468,41.71792619,31.00263852,25,47.98578199,74.56072089,100,79.68397291,0,37.95270287
44,87,87,2018,1.851881381,3,"European Region","H",79.22051887,75.88630807,32.24431818,100,86.11584327,41.71792619,31.00263852,25,47.98578199,74.56072089,100,79.68397291,0,42.16929273
44,87,87,2019,2.845477795,3,"European Region","H",79.22051887,75.88630807,32.24431818,100,86.11584327,41.71792619,47.75725594,25,47.98578199,74.56072089,100,79.68397291,0,42.16929273
44,87,87,2020,3.656651488,3,"European Region","H",79.22051887,75.88630807,32.24431818,100,86.11584327,44.39806678,47.75725594,25,47.98578199,25.94704251,100,79.68397291,0,42.96370351
44,87,87,2021,3.910195641,3,"European Region","H",79.22051887,75.88630807,32.24431818,100,86.11584327,48.41827768,50.01899736,25,47.98578199,66.10951941,100,100,0,44.38505286
48,480,480,2017,0.702760601,3,"Region of the Americas","UM",0,8.037897311,31.84659091,0,0,5.360281195,4.749340369,8.021390374,6.990521327,27.79602588,0,0,40.11278195,1.709380157
48,480,480,2018,0.892977621,3,"Region of the Americas","UM",0,8.037897311,1.448863636,0,0,5.360281195,4.749340369,16.97860963,22.98578199,23.49842884,0,0,40.11278195,1.709380157
48,480,480,2019,1.38649047,3,"Region of the Americas","UM",0,8.037897311,1.448863636,0,0,5.360281195,4.749340369,16.97860963,22.98578199,23.49842884,0,0,40.11278195,1.709380157
48,480,480,2020,2.77406289,3,"Region of the Americas","UM",0,8.037897311,1.448863636,0,0,5.360281195,4.749340369,16.97860963,22.98578199,23.49842884,0,0,40.11278195,1.709380157
48,480,480,2021,2.934663249,3,"Region of the Americas","UM",0,8.037897311,1.448863636,0,0,5.360281195,4.749340369,16.97860963,22.98578199,18.04556377,0,0,40.11278195,1.139586771
49,100,100,2017,-0.072645525,3,"European Region","H",89.76533019,75.88630807,69.60227273,100,100,53.77855888,70.25065963,83.95721925,63.98104265,94.54713494,78.97033159,59.36794582,53.60902256,75.44204975
49,100,100,2018,0.199379914,3,"European Region","H",89.76533019,83.92420538,69.60227273,100,100,53.77855888,78.62796834,83.95721925,63.98104265,94.54713494,78.97033159,59.36794582,53.60902256,78.47200367
49,100,100,2019,-0.206609056,3,"European Region","H",89.76533019,83.92420538,69.60227273,100,100,53.77855888,78.62796834,83.95721925,63.98104265,94.54713494,78.97033159,59.36794582,53.60902256,78.47200367
49,100,100,2020,0.290118203,3,"European Region","H",89.76533019,83.92420538,100,100,100,53.77855888,75.24643799,91.97860963,50,55.53937153,78.97033159,59.36794582,26.9924812,81.804081
49,100,100,2021,0.900591132,3,"European Region","H",79.22051887,75.88630807,62.64204545,100,100,53.77855888,75.24643799,83.95721925,63.98104265,55.53937153,78.97033159,100,53.60902256,77.76414244
50,514,514,2017,-0.721216612,3,"Region of the Americas","UM",0,8.037897311,1.704545455,0,27.42759796,6.700351494,17.87598945,16.04278075,0,13.36672828,0,29.68397291,26.9924812,0.569793386
50,514,514,2018,1.3252398,3,"Region of the Americas","UM",0,8.037897311,32.10227273,0,27.42759796,4.020210896,32.12401055,25,6.990521327,16.19658041,0,29.68397291,26.9924812,0.569793386
50,514,514,2019,4.079935083,3,"Region of the Americas","UM",0,8.037897311,32.10227273,0,27.42759796,4.020210896,32.12401055,25,6.990521327,16.19658041,0,29.68397291,26.9924812,0.569793386
50,514,514,2020,5.302060515,3,"Region of the Americas","UM",0,8.037897311,31.84659091,0,0,28.22934974,27.37467018,33.02139037,0,16.58937153,0,29.68397291,53.60902256,6.661141691
50,514,514,2021,5.904361908,3,"Region of the Americas","UM",10.23466981,8.037897311,1.448863636,0,44.80408859,8.040421793,17.87598945,33.02139037,6.990521327,15.42255083,0,29.68397291,0,4.786383247
51,172,172,2017,1.687038647,3,"African Region","LM",0,8.037897311,32.10227273,0,41.31175468,38.99384886,29.74934037,66.04278075,38.98104265,33.64168207,0,0,0,25.95475954
51,172,172,2018,2.427518111,3,"African Region","LM",0,8.037897311,32.10227273,0,41.31175468,38.99384886,29.74934037,66.04278075,38.98104265,39.09454713,0,0,0,26.52455292
51,172,172,2019,2.710188876,3,"African Region","LM",0,8.037897311,32.10227273,0,41.31175468,38.99384886,29.74934037,66.04278075,38.98104265,22.73595194,0,0,0,24.81517277
51,172,172,2020,3.22272733,3,"African Region","LM",0,8.037897311,32.10227273,0,27.42759796,38.99384886,29.74934037,50,31.99052133,34.99602588,0,20.31602709,0,18.68774724
