"Country","Country_class","Year","AMR","traj_class","WHO_Region","Income","Strategic_vision","Multi_sector_engagement","Sustainability","Accountability","AMC_surveillance_system","AMR_surveillance_system","Optimization_antimicrobial","Professional_education","Public_awareness","Hygiene_prevention","Research_innovation","Reporting","Policy_adjustment","Effectiveness"
261,101,2021,9.759326067,2,"South-East Asia Region","LM",89.76533019,58.03789731,62.64204545,75.52664188,49.82964225,20.14499121,43.67440633,50,12.5,35.18974122,42.05933682,79.68397291,0,17.46598571
204,115,2017,5.472475751,2,"European Region","H",10.23466981,32.15158924,0.9375,0,55.19591141,25.54920914,51.12137203,49.06417112,20.97156398,32.48641405,0,50,40.11278195,44.29433635
204,115,2018,5.161040432,2,"European Region","H",54.97759434,82.15158924,68.83522727,51.05328377,55.19591141,28.27328647,51.12137203,49.06417112,45.97156398,79.55203327,0,79.68397291,40.11278195,50.74646934
204,115,2019,6.148586262,2,"European Region","H",54.97759434,58.03789731,68.83522727,51.05328377,55.19591141,43.01405975,43.99736148,24.06417112,20.97156398,81.10009242,0,79.68397291,40.11278195,54.9630592
204,115,2020,6.598894653,2,"European Region","H",54.97759434,66.07579462,68.83522727,51.05328377,55.19591141,30.9314587,45.25065963,49.06417112,20.97156398,32.48641405,21.02966841,79.68397291,40.11278195,46.99594925
204,115,2021,6.261237623,2,"European Region","H",54.97759434,82.15158924,62.13068182,51.05328377,55.19591141,43.05799649,36.87335092,32.0855615,20.97156398,37.93927911,21.02966841,79.68397291,40.11278195,43.93671038
152,123,2017,4.725335695,2,"Western Pacific Region","UM",100,66.07579462,69.09090909,100,55.19591141,51.09841828,73.87862797,75,20.97156398,57.51487985,0,59.36794582,76.80451128,70.8044343
152,123,2018,5.444700432,2,"Western Pacific Region","UM",100,66.07579462,69.34659091,100,100,51.09841828,65.50131926,75,45.97156398,56.99473198,0,79.68397291,76.80451128,72.31941126
152,123,2019,6.64900711,2,"Western Pacific Region","UM",100,66.07579462,99.74431818,100,100,51.09841828,74.22058047,75,63.98104265,59.062939,57.94066318,79.68397291,76.80451128,84.54416932
152,123,2020,8.182919448,2,"Western Pacific Region","UM",100,66.07579462,99.74431818,100,100,72.86906854,71.50395778,100,63.98104265,59.062939,57.94066318,79.68397291,76.80451128,86.28830527
152,123,2021,9.686164466,2,"Western Pacific Region","UM",100,66.07579462,99.74431818,100,100,47.05623902,63.12664908,100,63.98104265,45.93345656,57.94066318,79.68397291,76.80451128,83.13312046
6,135,2017,8.485539595,2,"Region of the Americas","H",0,8.037897311,31.59090909,0,79.17376491,36.57732865,45.25065963,33.02139037,22.98578199,15.29602588,0,29.68397291,26.61654135,15.04942776
6,135,2018,8.522737024,2,"Region of the Americas","H",0,8.037897311,31.59090909,0,79.17376491,36.57732865,45.25065963,33.02139037,22.98578199,15.29602588,0,29.68397291,26.61654135,15.04942776
6,135,2019,7.137395884,2,"Region of the Americas","H",10.23466981,8.037897311,32.10227273,0,51.74616695,39.25746924,53.62796834,16.04278075,22.98578199,25.17301294,0,29.68397291,26.61654135,15.04942776
6,135,2020,5.759633353,2,"Region of the Americas","H",10.23466981,0,0.9375,0,65.63032368,36.55536028,60.75197889,41.04278075,6.990521327,19.72014787,0,29.68397291,26.61654135,22.55951148
6,135,2021,5.144745203,2,"Region of the Americas","H",10.23466981,8.037897311,31.84659091,0,58.68824532,16.12478032,46.50395778,25,6.990521327,21.7883549,0,0,0,21.39207677
162,142,2017,5.435135696,2,"European Region","H",10.23466981,32.15158924,32.10227273,0,55.19591141,48.39630931,69.81319261,58.02139037,45.97156398,68.66885397,57.94066318,59.36794582,53.60902256,63.55890482
162,142,2018,9.098700292,2,"European Region","H",10.23466981,32.15158924,32.10227273,0,55.19591141,53.77855888,69.81319261,58.02139037,45.97156398,72.96645102,57.94066318,59.36794582,53.60902256,66.58885874
162,142,2019,15.76339243,2,"European Region","H",45.02240566,100,47.37215909,51.05328377,100,53.77855888,69.81319261,58.02139037,63.98104265,73.74048059,100,59.36794582,53.60902256,73.83540252
162,142,2020,18.08815376,2,"European Region","H",45.02240566,91.96210269,47.11647727,51.05328377,100,51.09841828,71.50395778,50,34.47867299,45.93345656,100,59.36794582,53.60902256,61.41845073
162,142,2021,18.9417267,2,"European Region","H",55.56721698,91.96210269,47.37215909,51.05328377,100,51.09841828,76.25329815,58.02139037,34.47867299,44.38539741,100,59.36794582,53.60902256,71.67359168
107,145,2017,4.445568626,2,"Eastern Mediterranean Region","H",10.23466981,8.037897311,31.59090909,0,56.77172061,13.42267135,45.25065963,16.04278075,34.47867299,30.49935305,57.94066318,0,0,22.98960669
107,145,2018,5.965807966,2,"Eastern Mediterranean Region","H",20.77948113,16.07579462,69.20454545,0,43.22827939,21.50702988,45.25065963,16.04278075,34.47867299,39.09454713,57.94066318,0,0,22.98960669
107,145,2019,5.185064725,2,"Eastern Mediterranean Region","H",20.77948113,24.11369193,68.94886364,0,29.34412266,24.18717047,36.87335092,24.06417112,20.97156398,39.09454713,57.94066318,20.31602709,26.61654135,29.55450684
